,category,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66
0,coffee,17887.4,17883.9,37781.3,37799.0,37801.0,31921.9,31913.0,31916.4,19656.7,19646.4,19644.8,14903.7,14901.1,14899.4,20942.9,20928.1,27044.0,27002.0,8462.3,8462.8,8461.7,13884.2,13889.3,13886.2,25318.6,25323.7,25314.6,45139.8,45134.2,45127.5,19085.4,19081.6,41039.7,41063.0,38501.9,38510.6,38547.4,191146.8,191821.4,191663.9,101442.9,101119.5,101423.8,104132.5,103976.0,103981.4,119096.6,119025.1,1640131.1,1659793.2,52336.1,52332.4,52338.2,16980.9,16989.6,16997.9,1092.6,1092.6,1092.5,5175.5,5179.6,5181.6,28307.0,28309.0,26.629999,44.889999
1,coffee,17889.7,17884.8,37920.4,37929.0,37933.2,32118.9,32101.3,32108.8,19648.8,19655.4,19648.0,14936.8,14940.3,14933.5,20943.1,20948.1,27028.0,27000.3,8461.0,8458.0,8459.2,13891.8,13899.3,13895.6,25327.9,25320.3,25311.6,45099.9,45141.6,45105.4,19089.4,19079.3,41037.6,41052.5,38549.8,38580.5,38626.5,192183.8,191325.0,190965.8,101176.2,101121.2,101368.5,103660.7,103627.3,103551.5,119113.2,119115.6,1687312.2,1636974.4,52391.0,52396.3,52327.8,16991.5,16988.5,16989.0,1092.6,1092.6,1092.5,5182.6,5185.7,5187.9,28314.6,28304.4,26.639999,45.570000
2,coffee,17900.9,17912.3,37928.0,37996.3,37993.2,32322.2,32233.1,32266.3,19662.5,19663.6,19664.9,14958.5,14955.6,14957.5,20941.5,20939.5,27043.8,27013.1,8457.5,8458.9,8460.0,13904.3,13908.5,13912.8,25367.9,25358.6,25351.2,45174.0,45200.3,45227.8,19091.8,19094.0,41092.3,41079.2,38538.8,38525.4,38518.1,191620.7,191481.9,191867.8,101444.6,101172.8,101290.8,103956.0,104175.4,104075.1,119264.9,119353.4,1638325.8,1668398.2,52421.3,52449.3,52430.8,16989.6,16994.0,16987.3,1092.6,1092.5,1092.5,5186.8,5190.0,5192.6,28315.3,28318.6,26.639999,45.810001
3,coffee,17906.1,17904.9,38061.5,38060.7,38075.0,32386.7,32386.3,32412.8,19670.9,19676.0,19676.3,14986.9,14987.7,14982.3,20942.3,20935.2,27042.3,27018.2,8463.9,8462.0,8462.3,13901.6,13910.5,13913.0,25394.0,25394.3,25380.7,45248.3,45258.8,45239.5,19087.4,19068.4,41051.6,41078.9,38695.6,38631.2,38614.7,192025.7,192255.2,192267.7,101361.6,101227.0,101165.9,104180.8,104220.1,104263.9,119220.7,119064.4,1620047.4,1667930.8,52479.2,52447.0,52554.4,16989.0,16989.8,16996.8,1092.6,1092.5,1092.5,5192.2,5196.2,5198.6,28322.5,28353.7,26.650000,45.869999
4,coffee,17911.1,17910.8,38098.0,38078.7,38076.5,32337.4,32324.2,32325.7,19680.3,19680.7,19674.3,14977.8,14966.4,14967.0,20936.4,20929.3,27059.6,27028.7,8457.5,8458.9,8459.3,13920.5,13926.5,13926.8,25354.1,25340.2,25334.6,45174.0,45160.6,45187.7,19092.4,19091.3,41049.5,41048.7,38582.6,38603.4,38592.7,193000.4,192171.4,191935.9,101485.3,101296.0,101356.4,103459.6,103570.4,103786.4,119186.0,119468.5,1636299.5,1677565.5,52546.2,52573.9,52550.9,17001.3,16997.8,16996.5,1092.6,1092.6,1092.6,5200.1,5202.2,5206.8,28339.4,28393.2,26.650000,45.549999
5,coffee,17914.0,17915.4,38177.7,38178.7,38163.2,32490.3,32486.5,32485.2,19692.5,19695.9,19690.9,15012.1,15004.3,15003.6,20958.2,20950.1,27061.7,27017.8,8462.4,8461.1,8464.3,13932.2,13939.1,13938.2,25400.2,25390.2,25387.9,45285.4,45275.6,45225.1,19094.0,19098.7,41103.1,41032.5,38532.1,38644.3,38594.4,193200.9,192706.6,192541.4,101386.6,101324.5,101640.5,104045.1,104255.7,104175.4,118991.7,118813.5,1669333.9,1667463.6,52639.1,52640.9,52569.0,17001.9,16996.5,17004.3,1092.6,1092.6,1092.5,5204.1,5208.4,5210.2,28370.9,28356.5,26.650000,45.840000
6,coffee,17923.4,17922.2,38216.0,38138.6,38186.5,32593.3,32566.6,32572.3,19704.7,19710.5,19701.8,15031.3,15027.7,15028.7,20953.2,20960.5,27045.6,27015.9,8463.1,8463.2,8463.9,13939.1,13940.5,13939.8,25428.6,25432.0,25434.4,45349.9,45360.8,45365.5,19093.5,19102.3,41094.1,41073.1,38590.5,38687.1,38724.3,192342.2,192840.9,192638.0,101663.0,101586.6,101624.0,104862.2,104930.7,105118.0,119039.4,119088.2,1669802.0,1641487.8,52735.8,52733.0,52763.6,17007.3,17004.1,17005.6,1092.6,1092.5,1092.5,5209.0,5211.6,5215.2,28337.3,28372.5,26.670000,46.060001
7,coffee,17919.9,17925.4,38332.9,38321.8,38288.6,32897.1,32888.9,32888.0,19712.8,19718.4,19709.8,15077.7,15084.2,15076.2,20949.1,20955.2,27045.0,27018.0,8465.7,8464.8,8463.5,13933.3,13933.6,13936.0,25514.4,25510.5,25514.8,45484.2,45476.8,45507.8,19106.5,19112.1,41064.7,41072.8,38789.3,38850.7,38854.5,192744.1,194070.4,192457.3,101947.1,101839.7,101823.2,105179.3,105542.3,105412.3,119101.3,119340.2,1630473.8,1698625.4,52858.7,52900.6,52832.1,17012.2,17011.8,17008.1,1092.6,1092.5,1092.5,5213.4,5217.9,5220.6,28359.0,28363.0,26.670000,45.820000
8,coffee,17962.0,17951.6,38527.4,38383.6,38486.6,33273.8,33312.5,33263.6,19725.0,19721.2,19718.3,15148.1,15141.9,15147.5,20955.3,20956.5,27054.9,27024.4,8470.6,8468.6,8467.9,13926.1,13934.1,13931.7,25673.6,25664.5,25652.6,45724.4,45709.6,45708.9,19122.8,19116.5,41080.5,41117.4,38896.2,38968.6,38902.0,194095.7,193360.9,193244.8,101952.3,101848.4,102151.0,106277.7,106336.6,106351.8,119194.4,118852.7,1657482.8,1678984.9,52972.5,52927.2,52914.7,17022.0,17009.4,17017.7,1092.6,1092.5,1092.5,5220.6,5224.0,5226.1,28388.0,28380.3,26.680000,44.990002
9,coffee,17959.3,17963.9,38563.8,38583.4,38593.4,33416.3,33422.5,33417.3,19725.7,19723.7,19720.4,15173.9,15173.9,15172.8,20947.8,20954.9,27040.3,27017.1,8469.4,8466.7,8467.1,13940.1,13941.5,13942.3,25684.1,25683.6,25677.1,45702.4,45708.2,45738.1,19118.5,19121.0,41018.5,41135.2,38894.4,39021.3,38876.9,193116.2,193969.2,194032.4,102017.0,102144.0,102025.8,106633.0,106482.2,106771.8,119237.4,119262.5,1637424.6,1605629.0,53042.7,53081.5,53094.1,17018.6,17014.7,17023.6,1092.6,1092.5,1092.5,5229.0,5233.1,5235.7,28387.6,28387.2,26.670000,43.650002
10,coffee,17968.1,17962.8,38694.9,38716.8,38707.2,33629.1,33622.2,33626.5,19737.9,19732.9,19740.8,15204.6,15203.8,15202.0,20964.1,20960.9,27050.3,27027.5,8470.0,8469.1,8469.4,13956.1,13958.9,13962.0,25757.9,25751.3,25759.5,45833.4,45839.9,45743.0,19121.6,19132.2,41134.5,41132.5,38960.0,38907.2,38912.9,193773.4,194415.9,193760.8,102187.0,102228.3,102166.0,106660.8,106642.6,106893.7,119269.7,119125.2,1767722.5,1619166.0,53085.1,53125.4,53101.4,17019.4,17027.0,17025.0,1092.6,1092.5,1092.6,5237.3,5241.1,5244.2,28387.6,28421.6,26.700001,42.599998
11,coffee,17963.3,17967.7,38750.7,38745.0,38766.0,33681.5,33702.4,33701.9,19746.6,19749.8,19748.0,15221.0,15217.1,15209.9,20963.5,20948.9,27064.4,27020.7,8467.4,8471.1,8470.7,13969.7,13978.2,13982.4,25783.6,25776.7,25785.6,45859.2,45880.3,45862.8,19126.7,19117.8,41099.9,41138.1,38951.6,38956.8,38954.0,194508.1,194396.9,194064.0,102470.4,102066.9,102273.1,106646.4,106687.6,106745.0,119103.7,119330.7,1606062.1,1673086.8,53242.7,53246.6,53251.1,17034.8,17028.4,17024.0,1092.6,1092.6,1092.6,5245.2,5250.5,5252.4,28423.0,28433.3,26.680000,41.820000
12,coffee,17957.4,17950.8,38788.3,38770.7,38760.8,33671.8,33667.6,33658.2,19749.1,19755.2,19747.5,15222.3,15224.7,15221.4,20946.7,20937.0,27047.4,27025.2,8468.9,8469.0,8470.3,13999.6,14000.7,13998.8,25785.1,25777.9,25781.7,45838.9,45855.1,45841.0,19130.0,19127.2,41115.0,41124.4,38898.3,38945.3,38924.9,194919.0,194026.1,194664.0,101764.8,101925.2,101457.6,105944.6,105975.7,105888.9,119220.7,119203.9,1638325.8,1617186.9,53176.0,53214.8,53166.3,17036.8,17028.1,17033.8,1092.6,1092.5,1092.5,5256.7,5260.4,5263.2,28451.2,28448.2,26.709999,41.509998
